,id,name,artist,duration_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genres,cluster
1,7odLILAvE27EORYkRWfw5U,Caution - Wasatch Style,The Killers,197853,FALSE,55,0.661,0.612,6,-4.353,1,0.032,0.197,0,0.0726,0.723,88.489,4,"modern rock,permanent wave,rock",1
2,0SieiDcGvj8cZ0K4hcT3Zd,Dying Breed,The Killers,246000,FALSE,58,0.656,0.78,1,-4.743,1,0.0854,0.00112,0.02,0.151,0.607,151.401,4,"modern rock,permanent wave,rock",1
3,150z2vDAwttNyNxEJFve50,Life To Come,The Killers,271933,FALSE,0,0.47,0.869,0,-3.667,1,0.0633,0.0182,0.0149,0.0688,0.359,107.953,4,"modern rock,permanent wave,rock",6
4,6Xyn0CrKfHeAo5eI8I1cDj,Run For Cover,The Killers,223066,FALSE,0,0.461,0.957,5,-3.306,1,0.139,0.00156,0.00385,0.313,0.461,165.092,4,"modern rock,permanent wave,rock",3
5,06OYfrtoQwYk2Ju70MiBgS,Miss Atomic Bomb,The Killers,294760,FALSE,0,0.558,0.726,10,-7.107,1,0.0314,0.0229,1.23E-05,0.227,0.385,133,4,"modern rock,permanent wave,rock",6
6,5sCs4grBDnpqaHnzvZHiCF,Shot At The Night,The Killers,242506,FALSE,0,0.512,0.801,5,-4.845,1,0.0549,0.101,0.0166,0.107,0.255,185.99,4,"modern rock,permanent wave,rock",4
7,6y6KjfkOZMCbzwOPKKDwi0,Just Another Girl,The Killers,262000,FALSE,0,0.544,0.785,1,-4.54,1,0.0274,0.000107,0.0155,0.152,0.143,136.969,4,"modern rock,permanent wave,rock",6
8,3285RNj9TGVvWlP8tYojDH,Here With Me,The Killers,292320,FALSE,58,0.5,0.731,10,-4.535,1,0.0312,0.192,0.00045,0.158,0.112,135.97,4,"modern rock,permanent wave,rock",6
9,1XsS266JiQtoqqLdlgD17V,Miss Atomic Bomb,The Killers,293506,FALSE,57,0.56,0.734,10,-7.094,1,0.0317,0.0273,2.12E-05,0.253,0.332,132.953,4,"modern rock,permanent wave,rock",6
10,5mhUPDWQH3s544WCsa0r9w,Human,The Killers,245360,FALSE,0,0.547,0.837,10,-7.085,1,0.0676,0.00112,0.000624,0.0937,0.568,135.47,4,"modern rock,permanent wave,rock",1
11,6zbnpAx9RH1W0dS4JEqdpc,Spaceman,The Killers,284546,FALSE,0,0.526,0.924,4,-4.073,1,0.0536,0.00237,0.0012,0.129,0.802,152.034,4,"modern rock,permanent wave,rock",4
12,5ZQ7VIzPivvIB1z4Eu8WFH,Romeo And Juliet - Live From Abbey Road / 2006,The Killers,328640,FALSE,0,0.561,0.399,9,-8.458,1,0.0278,0.387,7.04E-06,0.202,0.347,83.655,4,"modern rock,permanent wave,rock",5
13,6UgYYp4LmZ5oqigdrlaxkn,All The Pretty Faces,The Killers,285813,FALSE,0,0.426,0.981,7,-3.958,0,0.0736,0.0034,0.0633,0.101,0.211,137.493,4,"modern rock,permanent wave,rock",4
14,3iyjOwyySLRDEW2tqP7MhX,Read My Mind,The Killers,246840,FALSE,0,0.543,0.917,1,-3.391,1,0.0444,0.00572,7.76E-05,0.104,0.329,132.246,4,"modern rock,permanent wave,rock",6
15,3gNGi2iUGHXGpBQHce6Nua,When You Were Young,The Killers,220426,FALSE,0,0.467,0.988,11,-3.313,1,0.112,0.000152,0.0484,0.28,0.321,130.435,4,"modern rock,permanent wave,rock",4
16,3haN0f2YjW4waIiN38X33J,All These Things That I've Done,The Killers,301573,FALSE,0,0.554,0.73,6,-6.236,1,0.0418,0.00158,1.85E-05,0.117,0.204,118.24,4,"modern rock,permanent wave,rock",6
17,1lDWb6b6ieDQ2xT7ewTC3G,Somebody Told Me,The Killers,197160,FALSE,0,0.51,0.981,10,-3.191,0,0.0901,7.76E-05,0.00142,0.111,0.723,138.039,4,"modern rock,permanent wave,rock",4
18,0eGsygTp906u18L0Oimnem,Mr. Brightside,The Killers,222075,FALSE,0,0.351,0.928,1,-3.71,1,0.0759,0.00113,0,0.0988,0.239,148.03,4,"modern rock,permanent wave,rock",4
19,7HGTkn2aX7MNdKs7nV2xBt,Somebody Told Me,The Killers,197160,FALSE,66,0.509,0.987,10,-3.198,0,0.0886,8.05E-05,0.000928,0.119,0.647,138.039,4,"modern rock,permanent wave,rock",4
20,1UpFb9izAOYlcxWTOQzGf6,More Like You,Orla Gartland,219720,FALSE,58,0.883,0.431,2,-10.128,1,0.0434,0.591,0.00039,0.104,0.768,127.949,4,"indie pop,irish pop",1
21,33Erxwd8RV55M6ZX6KigNt,New Friends,Orla Gartland,179439,FALSE,35,0.658,0.169,7,-11.249,1,0.0496,0.911,2.45E-06,0.0925,0.353,93.876,4,"indie pop,irish pop",5
22,0bPB8TqrB1xBYzGEcpC7Q8,Did It To Myself,Orla Gartland,196939,TRUE,50,0.751,0.429,5,-10.552,1,0.0609,0.0627,5.54E-05,0.0993,0.393,95.025,4,"indie pop,irish pop",1
23,5VpgaWuqcWho0uJMniRNDs,Heavy,Orla Gartland,244946,FALSE,51,0.645,0.19,5,-12.02,1,0.0382,0.785,0.000435,0.102,0.112,139.981,4,"indie pop,irish pop",5
24,3pIEqgK9hHXpj35bd9cH2J,Overthinking (Demo),Orla Gartland,201106,FALSE,33,0.818,0.435,3,-10.209,1,0.16,0.348,0,0.0893,0.604,137.919,4,"indie pop,irish pop",3
25,55uHY7UWhCfEnsnL5Wx39Z,Flatline,Orla Gartland,201203,FALSE,29,0.755,0.852,2,-5.666,1,0.0388,0.023,0.00176,0.0475,0.919,123.969,4,"indie pop,irish pop",1
26,4c0WkzJbzDU750TXWarrk1,Why Am I Like This?,Orla Gartland,212713,FALSE,29,0.63,0.423,2,-7.705,1,0.0318,0.507,2.24E-06,0.219,0.319,90.019,4,"indie pop,irish pop",5
27,3DueRoQYcxVoOBnFCXfxOM,I Go Crazy,Orla Gartland,214574,FALSE,0,0.786,0.593,6,-8.254,0,0.0538,0.0841,0,0.144,0.544,109.993,4,"indie pop,irish pop",1
28,7lPN2DXiMsVn7XUKtOW1CS,drivers license,Olivia Rodrigo,242013,TRUE,100,0.585,0.436,10,-8.761,1,0.0601,0.721,1.31E-05,0.105,0.132,143.874,4,"pop,post-teen pop",5
29,1tF1J2fK1F9iQ8UUD1Iai5,Kill the Director,The Wombats,161560,FALSE,63,0.41,0.858,1,-5.295,0,0.0485,0.00347,0,0.0897,0.962,161.487,4,"indie rock,liverpool indie,modern alternative rock,modern rock,rock",4
30,0VD69ricQ3Flm3apWr4FQS,Techno Fan,The Wombats,239200,FALSE,49,0.511,0.934,2,-5.504,1,0.139,0.00131,0,0.365,0.541,141.95,4,"indie rock,liverpool indie,modern alternative rock,modern rock,rock",3
31,4GxWee692irccH1QOmRRLl,Turn,The Wombats,207679,TRUE,47,0.531,0.847,1,-3.907,1,0.0529,0.00743,0,0.0916,0.38,105.03,4,"indie rock,liverpool indie,modern alternative rock,modern rock,rock",6
32,1tTV7mRV9uB2Nr9VcwkuFX,Greek Tragedy,The Wombats,209557,FALSE,66,0.515,0.869,11,-4.732,1,0.0672,0.00257,2.01E-06,0.21,0.452,93.24,4,"indie rock,liverpool indie,modern alternative rock,modern rock,rock",6
33,7v9Ne4758aGFfFc5avh89h,Let's Dance to Joy Division,The Wombats,191293,FALSE,64,0.397,0.839,4,-6.674,1,0.102,0.00125,0,0.576,0.764,116.947,4,"indie rock,liverpool indie,modern alternative rock,modern rock,rock",4
34,20j7B6mL9gnNvG3ic6Vwh5,Hate To Say I Told You So,The Hives,200693,FALSE,67,0.459,0.931,5,-5.024,1,0.0612,0.00126,0.00881,0.412,0.419,135.826,4,"alternative rock,dance-punk,garage rock,garage rock revival,indie rock,modern rock,new rave,rock,swedish garage rock,swedish hard rock,swedish indie rock",4
35,4eZPjR0dLEYvH5Ku26rnLi,Hot Knife,Fiona Apple,242040,FALSE,45,0.783,0.464,5,-13.55,0,0.143,0.858,1.37E-05,0.152,0.812,97.499,4,"art pop,chamber pop,lilith,permanent wave,piano rock,pop rock,singer-songwriter",1
36,0X9YmbFHb2sPmml6J7DMK0,The Last Man on Earth,Wolf Alice,261217,FALSE,56,0.253,0.293,7,-8.544,1,0.0338,0.308,0.124,0.115,0.117,146.237,4,"indie rock,modern alternative rock,modern rock,rock",5
37,1KtNTjbeOA0AcDNm6x878Q,Visions Of A Life,Wolf Alice,477093,TRUE,37,0.27,0.61,9,-5.9,1,0.0337,0.00181,0.342,0.135,0.109,101.199,4,"indie rock,modern alternative rock,modern rock,rock",6
38,5ABJ1S6xsDuk2LSbH4zwDK,Storms,Wolf Alice,204269,FALSE,22,0.579,0.674,0,-5.049,1,0.0327,0.00164,0.148,0.0723,0.21,110.025,4,"indie rock,modern alternative rock,modern rock,rock",6
39,3K6OrQXyb3w9a6Ev0EtkCP,Sky Musings,Wolf Alice,178120,TRUE,38,0.535,0.701,1,-8.237,1,0.0519,2.89E-05,0.462,0.42,0.241,112.014,4,"indie rock,modern alternative rock,modern rock,rock",2
40,7l3XkFbTgakJZgMFC3wHiW,Leaving You,Wolf Alice,198683,FALSE,28,0.516,0.455,2,-10.466,1,0.0325,0.0537,0.00364,0.0825,0.0429,117.834,4,"indie rock,modern alternative rock,modern rock,rock",6
41,54Q0R1kVWjnCbpuNMyo6Lb,90 Mile Beach,Wolf Alice,224744,FALSE,28,0.324,0.359,9,-8.646,1,0.0331,0.0153,0.000823,0.111,0.149,95.051,4,"indie rock,modern alternative rock,modern rock,rock",6
42,08B2L7NNQrVhnnVpjkAvMI,Nosedive,Wolf Alice,166946,FALSE,28,0.497,0.762,2,-7.226,1,0.0277,0.0206,0.103,0.215,0.563,155.096,4,"indie rock,modern alternative rock,modern rock,rock",4
43,2U4BtckcNxE6cn5wGmBLiS,Freazy,Wolf Alice,194853,FALSE,32,0.672,0.76,0,-7.867,1,0.0339,0.00148,0.00522,0.306,0.515,111.98,4,"indie rock,modern alternative rock,modern rock,rock",1
44,5qiLNGZIJwdCd2S9Y8U4LR,You’re a Germ,Wolf Alice,173160,TRUE,32,0.629,0.838,7,-6.542,1,0.0645,0.000876,0.146,0.262,0.536,138.027,4,"indie rock,modern alternative rock,modern rock,rock",1
45,5z4mtQ6wjwo60iZhf5Vnj4,The Wonderwhy (Hidden Track),Wolf Alice,406613,FALSE,28,0.448,0.327,7,-9.954,1,0.0522,0.43,0.205,0.13,0.0874,110.991,4,"indie rock,modern alternative rock,modern rock,rock",5
46,5YS1ozwyfnzZtIX5rtKa3r,She,Wolf Alice,192027,FALSE,30,0.472,0.674,11,-5.596,0,0.0424,0.00129,0.000398,0.119,0.219,136.616,4,"indie rock,modern alternative rock,modern rock,rock",6
47,03DZjSbmLsQ0aAiqLwbQu2,Sadboy,Wolf Alice,251560,FALSE,36,0.426,0.656,0,-6.498,1,0.0317,0.0139,0.828,0.0826,0.143,108.191,4,"indie rock,modern alternative rock,modern rock,rock",2
48,6mgZxHEtNHG5jGh2zkvSvs,Planet Hunter,Wolf Alice,232960,FALSE,41,0.542,0.482,9,-6.249,1,0.0292,0.022,0.00774,0.261,0.0667,121.961,4,"indie rock,modern alternative rock,modern rock,rock",6
49,4zUK40tfomNXQGE7ySTBXP,Bros,Wolf Alice,224720,FALSE,34,0.583,0.921,4,-8.383,1,0.0697,0.00377,0.462,0.226,0.222,125.98,4,"indie rock,modern alternative rock,modern rock,rock",2
50,2W51Xkmg24VOT7ZThWj5Ll,Lisbon,Wolf Alice,206040,FALSE,36,0.51,0.819,1,-7.152,0,0.0456,0.000112,0.892,0.128,0.319,144.065,4,"indie rock,modern alternative rock,modern rock,rock",2
51,7f62MruiQN3mxACnIU0yxO,Silk,Wolf Alice,243986,FALSE,40,0.514,0.414,0,-9.693,1,0.0297,0.38,0.00891,0.142,0.231,86.014,4,"indie rock,modern alternative rock,modern rock,rock",5
52,6jOUbSEEJVdIn2j9UjrBvz,Giant Peach,Wolf Alice,275493,FALSE,32,0.503,0.812,6,-7.829,0,0.0754,4.75E-05,0.0639,0.691,0.136,140.902,4,"indie rock,modern alternative rock,modern rock,rock",6
53,37XsaGX7crh4YJKv6k946u,Moaning Lisa Smile,Wolf Alice,160747,FALSE,50,0.47,0.806,2,-2.92,1,0.0505,0.000575,0.0564,0.0917,0.339,98.046,4,"indie rock,modern alternative rock,modern rock,rock",6
54,2vvUQE2oDCKtOkS6LFgJck,Heavenly Creatures,Wolf Alice,197986,FALSE,33,0.763,0.275,4,-11.332,0,0.0312,0.501,0.282,0.111,0.389,97.043,4,"indie rock,modern alternative rock,modern rock,rock",5
55,57z2fiemiFjOkPBHtgCtOA,White Leather,Wolf Alice,156375,FALSE,38,0.732,0.355,2,-16.885,1,0.0341,0.86,0.0245,0.107,0.255,127.953,4,"indie rock,modern alternative rock,modern rock,rock",5
56,0hx6wJdPlMpT254F9UYQNu,"Song to the Siren - Recorded at Strongroom Studios, London",Wolf Alice,211159,FALSE,42,0.371,0.15,2,-11.116,1,0.0294,0.963,0,0.124,0.0785,68.774,4,"indie rock,modern alternative rock,modern rock,rock",5
57,02djsJAroBTBfuC9vEm3ZD,After The Zero Hour,Wolf Alice,204160,FALSE,34,0.535,0.287,0,-11.457,1,0.0311,0.854,0.0107,0.0977,0.19,119.928,4,"indie rock,modern alternative rock,modern rock,rock",5
58,1KTzdWEz3dgoYwSZDD7kEW,St. Purple & Green,Wolf Alice,261933,FALSE,34,0.455,0.578,7,-7.286,1,0.0297,0.0217,0.879,0.152,0.12,90.982,4,"indie rock,modern alternative rock,modern rock,rock",2
59,5LDMrFh5ZiqzUFLEVo7tjm,Space & Time,Wolf Alice,147400,FALSE,40,0.298,0.638,2,-4.331,1,0.0344,7.85E-05,0.117,0.13,0.215,143.576,3,"indie rock,modern alternative rock,modern rock,rock",4
60,6MUmOqr4xP2fwgCjR2BTLn,Formidable Cool,Wolf Alice,213306,TRUE,39,0.668,0.733,6,-5.379,0,0.0329,0.000953,0.252,0.0912,0.44,119.012,4,"indie rock,modern alternative rock,modern rock,rock",1
61,1LomCMl5wD3MPVlC6smUHe,Don’t Delete The Kisses,Wolf Alice,275226,FALSE,58,0.604,0.789,5,-6.259,1,0.0273,0.0011,0.828,0.368,0.348,122.032,4,"indie rock,modern alternative rock,modern rock,rock",2
62,6RExQcl7BFkVmUEo1zf6QW,Yuk Foo,Wolf Alice,133413,TRUE,38,0.37,0.869,0,-2.919,0,0.035,4.61E-06,0.922,0.144,0.0847,152.054,4,"indie rock,modern alternative rock,modern rock,rock",2
63,05I2kbWf5P3xdCVQve7apz,Beautifully Unconventional,Wolf Alice,133160,FALSE,47,0.745,0.837,4,-4.065,1,0.0308,0.0217,0.000969,0.21,0.662,104.493,4,"indie rock,modern alternative rock,modern rock,rock",1
64,72h0tXbdWtDs8fem7NFEhu,Heavenward,Wolf Alice,295013,FALSE,40,0.11,0.692,4,-5.685,0,0.0576,0.00811,0.578,0.124,0.07,71.748,4,"indie rock,modern alternative rock,modern rock,rock",2
65,1W5yUCcUuktqC5IWCYLSwf,Blush,Wolf Alice,259361,FALSE,44,0.326,0.439,9,-8.963,1,0.035,0.157,0.000116,0.123,0.0875,122.892,4,"indie rock,modern alternative rock,modern rock,rock",6
66,2GUZjmCBU4UVoVVN5S2BVF,Your Loves Whore,Wolf Alice,297386,TRUE,34,0.582,0.59,2,-6.981,1,0.0487,0.0011,0.326,0.0502,0.32,156.007,4,"indie rock,modern alternative rock,modern rock,rock",4
67,57YKyo8SW8lujChukFU3qY,The Same,Ashe,233220,FALSE,63,0.493,0.313,2,-13.012,1,0.0406,0.86,0.109,0.0944,0.163,156.977,4,"electropop,indie pop,pop",5
68,5BHvj11hSbdHzwXIl9Sq62,Cold in California,Ashe,207807,FALSE,46,0.427,0.492,9,-8.053,1,0.0563,0.697,1.16E-05,0.356,0.308,109.974,4,"electropop,indie pop,pop",5
69,2u5BTZaxG4iRrE9abqzVFL,"Shitty Places, Pretty Faces",Ashe,213722,TRUE,41,0.573,0.488,9,-9.045,1,0.0389,0.545,4.36E-05,0.122,0.19,99.897,4,"electropop,indie pop,pop",5
70,0Ue6Bvzrf13VCxFyDcvvpc,Not How It's Supposed To Go,Ashe,173860,TRUE,47,0.434,0.338,9,-8.453,1,0.07,0.497,1.86E-06,0.11,0.238,140.399,4,"electropop,indie pop,pop",5
71,5cfmgYzPoB5Ml1dhgaIdrN,Bachelorette,Ashe,213963,FALSE,41,0.606,0.475,5,-8.717,1,0.0305,0.327,0.000892,0.133,0.36,87.987,4,"electropop,indie pop,pop",6
72,7IHp7SCKDtTNJuxhpD27bb,Moral of the Story,Ashe,201083,TRUE,37,0.572,0.406,10,-8.624,1,0.0427,0.587,4.48E-06,0.102,0.265,119.812,4,"electropop,indie pop,pop",5
73,0Y67tWeHOJgYYHHhSyuj7R,We Get High,Ashe,142813,FALSE,42,0.599,0.747,4,-3.21,0,0.157,0.562,1.50E-06,0.072,0.724,89.56,4,"electropop,indie pop,pop",3
74,13HCHC9GS6pqvJs6oFg2Fg,She's My Religion,Pale Waves,189586,FALSE,55,0.522,0.726,4,-4.115,1,0.0383,0.348,5.47E-06,0.148,0.331,161.867,4,"electropop,manchester indie,metropopolis,modern alternative rock,modern rock,rock",4
75,5rZPu3Hdz9v8y2dNi2eoTg,Television Romance,Pale Waves,204265,FALSE,50,0.528,0.91,4,-3.407,1,0.0433,0.00149,0,0.323,0.515,115.024,4,"electropop,manchester indie,metropopolis,modern alternative rock,modern rock,rock",1
76,7x340DZyQlxuXZOsBHT7kd,There's a Honey,Pale Waves,230928,FALSE,51,0.486,0.869,2,-4.013,1,0.0451,0.000237,2.59E-05,0.0983,0.115,121.869,4,"electropop,manchester indie,metropopolis,modern alternative rock,modern rock,rock",6
77,4oecUEFtf9m5x8YQFfE1em,Worth It,beabadoobee,194173,TRUE,44,0.576,0.751,2,-5.256,1,0.0269,0.0125,0.000459,0.0501,0.38,103.009,4,"bedroom pop,bubblegrunge,indie pop",6
78,3jK7Phs5IsCWndQVGD4NZz,Space Cadet,beabadoobee,264013,TRUE,0,0.571,0.874,4,-5.2,1,0.0273,0.00383,0.0282,0.0621,0.742,127.046,4,"bedroom pop,bubblegrunge,indie pop",1
79,3s9eWdn8IymCPvVLcKpjww,The Moon Song,beabadoobee,141040,FALSE,66,0.405,0.0854,0,-15.488,1,0.0336,0.968,0.0121,0.139,0.148,93.768,4,"bedroom pop,bubblegrunge,indie pop",5
80,429NtPmr12aypzFH3FkN9l,Coffee,beabadoobee,126824,FALSE,69,0.532,0.137,9,-18.208,1,0.0717,0.982,0.962,0.112,0.301,118.734,4,"bedroom pop,bubblegrunge,indie pop",2
81,52zzYSu7RUsSFn8cZlVjWp,She Plays Bass,beabadoobee,207106,TRUE,58,0.447,0.89,9,-3.823,0,0.047,0.000147,0.021,0.101,0.269,136.066,4,"bedroom pop,bubblegrunge,indie pop",4
82,0lx2cLdOt3piJbcaXIV74f,willow,Taylor Swift,214706,FALSE,86,0.392,0.574,7,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112,4,"dance pop,pop,pop dance",3
83,3k7ne7VmH43ZPWxPdvPUgR,coney island (feat. The National),Taylor Swift,275320,FALSE,73,0.537,0.537,8,-11.266,1,0.0617,0.819,0.000904,0.142,0.292,107.895,4,"dance pop,pop,pop dance",5
84,580t2NTEMOuCHV1sN3uhyD,Blank Space,Taylor Swift,231826,FALSE,0,0.752,0.678,5,-5.421,1,0.0646,0.085,1.64E-06,0.13,0.583,96.009,4,"dance pop,pop,pop dance",1
85,1pUyZuge2qoSG1nzDxftQJ,two queens in a king sized bed,girl in red,190944,FALSE,66,0.361,0.218,9,-14.989,1,0.0338,0.911,0.000577,0.0748,0.167,114.476,4,"bedroom pop,bubblegrunge,indie pop,norwegian indie",5
86,3h3pOvw6hjOvZxRUseB7h9,i wanna be your girlfriend,girl in red,204990,FALSE,77,0.54,0.381,7,-14.323,1,0.0347,0.0217,0.000687,0.305,0.343,155.882,4,"bedroom pop,bubblegrunge,indie pop,norwegian indie",6
87,4677jRCDMa05jcA94EQ0hG,Say It - Spotify Studio Oyster Recording,girl in red,173175,FALSE,59,0.518,0.777,10,-6.958,1,0.0325,0.0328,0,0.282,0.749,171.925,4,"bedroom pop,bubblegrunge,indie pop,norwegian indie",4
88,1M4Ud66z18wuIq3oOxqVHa,bad idea!,girl in red,219638,TRUE,74,0.511,0.806,1,-6.093,1,0.0481,0.03,0.0465,0.252,0.41,162.04,4,"bedroom pop,bubblegrunge,indie pop,norwegian indie",4
89,7yyJF1BYBaCifNmO1RGhv7,i'll die anyway.,girl in red,192612,FALSE,66,0.472,0.627,0,-6.895,1,0.0289,0.000427,0.574,0.0798,0.172,157.909,4,"bedroom pop,bubblegrunge,indie pop,norwegian indie",2
90,0f0k0OJ9VbaLHX4J1t2qUy,Just My Imagination,The Cranberries,221293,FALSE,61,0.545,0.797,10,-5.315,1,0.0252,0.257,3.86E-06,0.0884,0.852,100.464,4,"irish rock,pop rock",1
91,2IZZqH4K02UIYg5EohpNHF,Zombie,The Cranberries,306426,FALSE,79,0.307,0.635,7,-8.957,1,0.0339,0.0154,0.00483,0.366,0.304,166.973,4,"irish rock,pop rock",4
92,0gEyKnHvgkrkBM6fbeHdwK,Linger,The Cranberries,274706,FALSE,75,0.439,0.434,7,-14.918,1,0.0265,0.0783,4.87E-05,0.14,0.204,94.845,4,"irish rock,pop rock",6
93,7GxdzgTT77MgRKB8kmaORn,Something,Julien Baker,232550,FALSE,36,0.371,0.198,9,-7.261,1,0.0324,0.79,3.66E-05,0.161,0.0996,135.138,3,"ambient folk,art pop,indie folk,indie pop,indie rock",5
94,6fqVZogOXWFBuMEP4hfDLh,Tokyo,Julien Baker,223972,FALSE,6,0.509,0.494,9,-8.191,1,0.0407,0.605,0.00879,0.12,0.231,110.918,3,"ambient folk,art pop,indie folk,indie pop,indie rock",5
95,42A6ljL7QSLD4WkXaWjMMV,The Modern Leper,Julien Baker,267680,TRUE,27,0.406,0.362,4,-7.636,1,0.0277,0.448,0.0152,0.08,0.108,91.507,4,"ambient folk,art pop,indie folk,indie pop,indie rock",5
96,46Vogr8UvzcVPAgDvBpDIr,Appointments,Julien Baker,273466,FALSE,19,0.418,0.273,0,-8.887,1,0.0305,0.938,4.06E-05,0.0897,0.0585,110.623,3,"ambient folk,art pop,indie folk,indie pop,indie rock",5
97,1dOO3KYqbyiQUXnD9U2qI3,Troubleman,Electric Guest,528733,FALSE,42,0.467,0.531,5,-8.482,0,0.0301,0.213,0.0246,0.137,0.317,121.964,4,"indie pop,indie rock,indietronica,la indie,modern rock,shimmer pop,vapor soul",6
98,4roHl7eAKrZi8bQ7m3Mmt5,You Won't Do,The Regrettes,326426,FALSE,30,0.376,0.449,0,-4.599,1,0.0688,0.176,0,0.0875,0.348,147.96,3,"indie pop,la indie",4
99,1PDcq5HSN2r78TSim0TMHz,What Am I Gonna Do Today?,The Regrettes,229696,FALSE,35,0.622,0.449,0,-9.342,1,0.025,0.0927,0,0.1,0.325,98.976,4,"indie pop,la indie",6
100,48j8SeUleA9cCPcjUNMqP3,Dress Up,The Regrettes,170447,FALSE,37,0.496,0.818,11,-3.227,1,0.0438,0.0018,2.99E-06,0.544,0.652,164.028,4,"indie pop,la indie",4
101,6tUejaw8c0HZDg9TM4lXXf,Don't Stop Me Now,The Regrettes,200920,FALSE,39,0.33,0.871,0,-2.969,1,0.232,0.0365,0,0.301,0.123,170.809,4,"indie pop,la indie",3
102,6TJv1Np1Qzps2dR7oB3m5K,Come Through,The Regrettes,168960,FALSE,35,0.858,0.796,11,-2.067,1,0.0458,0.0639,0.000613,0.127,0.857,135.006,4,"indie pop,la indie",1
