id,name,artist,duration_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genres
5ovYwJmYcFvSvn6nRQOPyL,Pachuco,Maldita Vecindad Y Los Hijos Del 5to. Patio,194200,False,65,0.649,0.985,7,-8.016,1,0.0413,0.112,0.043,0.214,0.496,107.825,4,"latin alternative,latin rock,mexican pop,mexican rock,rock en espanol,ska mexicano"
0t0Kl5jxxV3s8bdpILkgmd,Canción para Mi Muerte,Sui Generis,215906,False,59,0.457,0.277,0,-18.023,1,0.034,0.649,3.66e-06,0.101,0.482,130.833,4,"argentine rock,cantautor,latin alternative,latin rock,nueva cancion,rock en espanol,rock nacional"
3UBXrdDWmiWpV6TY4O2rS3,Rompan Todo (Break It All),Los Shakers,150013,False,37,0.44,0.904,6,-7.402,0,0.0531,0.149,0.0,0.275,0.843,185.124,4,"classic garage rock,freakbeat,rock nacional"
1O84ZPSywpYdZ7oYbCfOAe,Piccola sbronza,Selton,170746,False,41,0.627,0.624,0,-6.479,1,0.245,0.209,0.0,0.222,0.76,193.942,4,"italian alternative,italian indie pop,milan indie"
5eIRcfC177ZdsZ0ufta3Oz,Fammi Scrollare (feat. Willie Peyote & Emicida),Selton,173493,False,27,0.758,0.907,2,-5.365,0,0.141,0.141,1.75e-06,0.175,0.768,104.957,4,"italian alternative,italian indie pop,milan indie"
09A9SaxoI4nsOxrQKUVlTl,Voglia di infinito,Selton,211000,False,42,0.596,0.804,7,-4.665,1,0.097,0.0834,0.0,0.0961,0.576,133.04,4,"italian alternative,italian indie pop,milan indie"
3ti3uqYYxGPWyxfeaxjjJW,Escapist,Nightwish,301853,False,30,0.512,0.914,7,-3.564,0,0.0395,0.000508,0.627,0.34,0.35,143.974,4,"finnish metal,finnish power metal,gothic metal,gothic symphonic metal,opera metal,power metal,symphonic metal"
4FxeJ4zsDQfzTrYxaQNduC,"The Crow, The Owl And The Dove",Nightwish,250386,False,31,0.55,0.611,0,-7.677,0,0.0263,0.0446,2.22e-05,0.0908,0.22,94.964,4,"finnish metal,finnish power metal,gothic metal,gothic symphonic metal,opera metal,power metal,symphonic metal"
74b5zpkbJuk0VjkNPfOROX,Storytime,Nightwish,322280,False,37,0.465,0.971,5,-3.466,0,0.0749,0.00366,0.00375,0.326,0.483,156.171,4,"finnish metal,finnish power metal,gothic metal,gothic symphonic metal,opera metal,power metal,symphonic metal"
6c2aL1Jjdy8QCODK2Buqin,Last Ride Of The Day,Nightwish,271120,False,34,0.448,0.951,2,-3.391,0,0.0522,0.00247,0.0,0.0862,0.581,161.974,3,"finnish metal,finnish power metal,gothic metal,gothic symphonic metal,opera metal,power metal,symphonic metal"
2tfXwnmrp1z3vRnjikVeg0,The Eyes Of Sharbat Gula,Nightwish,364013,False,0,0.481,0.236,2,-18.866,0,0.0285,0.482,0.933,0.109,0.114,121.97,4,"finnish metal,finnish power metal,gothic metal,gothic symphonic metal,opera metal,power metal,symphonic metal"
1yQdozAHO0cK9OFIsrCs0S,Élan,Nightwish,287000,False,0,0.575,0.582,5,-9.476,1,0.0301,0.0103,0.000178,0.139,0.297,127.94,4,"finnish metal,finnish power metal,gothic metal,gothic symphonic metal,opera metal,power metal,symphonic metal"
5w2bKYh0qbMlxVWceynd0s,Endless Forms Most Beautiful,Nightwish,308000,False,0,0.488,0.879,2,-8.476,0,0.0424,6.35e-05,0.000629,0.126,0.416,153.944,4,"finnish metal,finnish power metal,gothic metal,gothic symphonic metal,opera metal,power metal,symphonic metal"
3vm2YWzVKrIaWXZcmEIFdP,End Of All Hope,Nightwish,233800,False,0,0.477,0.946,5,-6.734,1,0.0423,6.14e-05,0.0271,0.333,0.563,79.948,4,"finnish metal,finnish power metal,gothic metal,gothic symphonic metal,opera metal,power metal,symphonic metal"
