"","id","genres","danceability","energy","speechiness","acousticness","instrumentalness","valence","tempo"
"1","5ovYwJmYcFvSvn6nRQOPyL","latin alternative,latin rock,mexican pop,mexican rock,rock en espanol,ska mexicano",0.649,0.985,0.0413,0.112,0.043,0.496,0.377281251149052
"2","0t0Kl5jxxV3s8bdpILkgmd","argentine rock,latin alternative,latin rock,nueva cancion,rock en espanol,rock nacional",0.457,0.277,0.034,0.649,3.66e-06,0.482,0.518280650577897
"3","3UBXrdDWmiWpV6TY4O2rS3","freakbeat,rock nacional",0.44,0.904,0.0531,0.149,0,0.843,0.850990942406452
"4","1O84ZPSywpYdZ7oYbCfOAe","italian alternative,italian indie pop,milan indie",0.627,0.624,0.245,0.209,0,0.76,0.905030089840542
"5","5eIRcfC177ZdsZ0ufta3Oz","italian alternative,italian indie pop,milan indie",0.758,0.907,0.141,0.141,1.75e-06,0.768,0.359705352437216
"6","09A9SaxoI4nsOxrQKUVlTl","italian alternative,italian indie pop,milan indie",0.596,0.804,0.097,0.0834,0,0.576,0.53180575812916
"7","3ti3uqYYxGPWyxfeaxjjJW","finnish metal,finnish power metal,gothic metal,gothic symphonic metal,opera metal,power metal,symphonic metal",0.512,0.914,0.0395,0.000508,0.627,0.35,0.598812339898761
"8","4FxeJ4zsDQfzTrYxaQNduC","finnish metal,finnish power metal,gothic metal,gothic symphonic metal,opera metal,power metal,symphonic metal",0.55,0.611,0.0263,0.0446,2.22e-05,0.22,0.298465479415117
"9","74b5zpkbJuk0VjkNPfOROX","finnish metal,finnish power metal,gothic metal,gothic symphonic metal,opera metal,power metal,symphonic metal",0.465,0.971,0.0749,0.00366,0.00375,0.483,0.673558935640834
"10","6c2aL1Jjdy8QCODK2Buqin","finnish metal,finnish power metal,gothic metal,gothic symphonic metal,opera metal,power metal,symphonic metal",0.448,0.951,0.0522,0.00247,0,0.581,0.70912132762995
"11","2tfXwnmrp1z3vRnjikVeg0","finnish metal,finnish power metal,gothic metal,gothic symphonic metal,opera metal,power metal,symphonic metal",0.481,0.236,0.0285,0.482,0.933,0.114,0.463965730674478
